Level	Rule Name	Subject	Property	Value
WARN	missing_definition	Doberman Pincher	IAO:0000115	
WARN	missing_definition	N'dama	IAO:0000115	
WARN	missing_definition	Afikander	IAO:0000115	
WARN	missing_definition	Moscow	IAO:0000115	
WARN	missing_definition	White Plymouth Rock	IAO:0000115	
WARN	missing_definition	Cornish	IAO:0000115	
WARN	missing_definition	Pashmina	IAO:0000115	
WARN	missing_definition	Walker Hound	IAO:0000115	
WARN	missing_definition	Galway	IAO:0000115	
WARN	missing_definition	Airedale Terrier	IAO:0000115	
WARN	missing_definition	Blackhead Persian	IAO:0000115	
WARN	missing_definition	Standard Poodle	IAO:0000115	
WARN	missing_definition	Leghorn	IAO:0000115	
WARN	missing_definition	Bengal	IAO:0000115	
WARN	missing_definition	Rhode Island Red	IAO:0000115	
WARN	missing_definition	Muzaffarnagari	IAO:0000115	
WARN	missing_definition	Weimaraner	IAO:0000115	
WARN	missing_definition	Kumauni Hill	IAO:0000115	
WARN	missing_definition	Toggenburg	IAO:0000115	
WARN	missing_definition	Magra	IAO:0000115	
WARN	missing_definition	Flemisch	IAO:0000115	
WARN	missing_definition	Swedish Lowland	IAO:0000115	
WARN	missing_definition	Black and White German	IAO:0000115	
WARN	missing_definition	Red and White Westphalian	IAO:0000115	
WARN	missing_definition	West Highland White terrier	IAO:0000115	
WARN	missing_definition	Nganda	IAO:0000115	
WARN	missing_definition	Barrosa	IAO:0000115	
WARN	missing_definition	Irish Setter	IAO:0000115	
WARN	missing_definition	Shetland	IAO:0000115	
WARN	missing_definition	Romanovsky	IAO:0000115	
WARN	missing_definition	Blue Faced Maine	IAO:0000115	
WARN	missing_definition	Newfoundland	IAO:0000115	
WARN	missing_definition	Broad Breasted White	IAO:0000115	
WARN	missing_definition	Fox Terrier	IAO:0000115	
WARN	missing_definition	Bavarian Grey Iskur	IAO:0000115	
WARN	missing_definition	Simmental	IAO:0000115	
WARN	missing_definition	Maltese Terriers	IAO:0000115	
WARN	missing_definition	Fribourg	IAO:0000115	
WARN	missing_definition	Sindhi	IAO:0000115	
WARN	missing_definition	Sahiwal	IAO:0000115	
WARN	missing_definition	Brittany Spaniel	IAO:0000115	
WARN	missing_definition	Murnau Werdenfelser	IAO:0000115	
WARN	missing_definition	Australian Cattle Dog	IAO:0000115	
WARN	missing_definition	Chihuahua	IAO:0000115	
WARN	missing_definition	Chow Chow	IAO:0000115	
WARN	missing_definition	Norwegian buhund	IAO:0000115	
WARN	missing_definition	Red Pied Aosta	IAO:0000115	
WARN	missing_definition	Japanese Black	IAO:0000115	
WARN	missing_definition	White Wyandotte	IAO:0000115	
WARN	missing_definition	Irish Terrier	IAO:0000115	
WARN	missing_definition	Sheepdog	IAO:0000115	
WARN	missing_definition	Kerry Blue Terrier	IAO:0000115	
WARN	missing_definition	Black Welsh	IAO:0000115	
WARN	missing_definition	Murboden	IAO:0000115	
WARN	missing_definition	Toy Griffon	IAO:0000115	
WARN	missing_definition	Black Pied German	IAO:0000115	
WARN	missing_definition	Jiaxing	IAO:0000115	
WARN	missing_definition	Laconie	IAO:0000115	
WARN	missing_definition	Bull Terrier	IAO:0000115	
WARN	missing_definition	Devon Rex	IAO:0000115	
WARN	missing_definition	Chester White	IAO:0000115	
WARN	missing_definition	Grivette	IAO:0000115	
WARN	missing_definition	Solognot	IAO:0000115	
WARN	missing_definition	Vendeen	IAO:0000115	
